operator,cells,gamma,kind,trial,relative_worst_eigenvalue_drift,delta_relative_norm
MOLE-CC-k6,80,0.08,boundary,16,0.014450705864561675,0.08
MOLE-CC-k6,80,0.08,boundary,17,0.016086414248367664,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,18,0.011209114909371761,0.08
MOLE-CC-k6,80,0.08,boundary,19,0.011476493525944148,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,20,0.01378249245535937,0.07999999999999997
MOLE-CC-k6,80,0.08,boundary,21,0.010667059125854842,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,22,0.01609285694265126,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,23,0.011942941722819239,0.08000000000000004
MOLE-CC-k6,80,0.08,boundary,24,0.013164260618526623,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,25,0.013649624084786455,0.07999999999999997
MOLE-CC-k6,80,0.08,boundary,26,0.011906731209482008,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,27,0.012272685153639863,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,28,0.019977658030360824,0.08
MOLE-CC-k6,80,0.08,boundary,29,0.01040919397410942,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,30,0.015101861509333285,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,31,0.010275969001328692,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,32,0.015147122776530481,0.07999999999999997
MOLE-CC-k6,80,0.08,boundary,33,0.012125083092560794,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,34,0.014517615724095056,0.08000000000000004
MOLE-CC-k6,80,0.08,boundary,35,0.01685698455964475,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,36,0.016792732986103547,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,37,0.013509114819764544,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,38,0.013192644759983056,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,39,0.019933399369924627,0.08000000000000004
LLM-full_metrics,80,0.02,dense,0,0.0025470516021257983,0.02
LLM-full_metrics,80,0.02,dense,1,0.0033274948493013734,0.02
LLM-full_metrics,80,0.02,dense,2,0.00284342412628684,0.02
LLM-full_metrics,80,0.02,dense,3,0.0028821623778147055,0.019999999999999993
LLM-full_metrics,80,0.02,dense,4,0.0032669870804468877,0.02000000000000001
LLM-full_metrics,80,0.02,dense,5,0.002792332703801525,0.02000000000000001
LLM-full_metrics,80,0.02,dense,6,0.0025702514109643576,0.020000000000000004
LLM-full_metrics,80,0.02,dense,7,0.003181961875095706,0.02
LLM-full_metrics,80,0.02,dense,8,0.0029647861848006996,0.02
LLM-full_metrics,80,0.02,dense,9,0.0026719787963516857,0.019999999999999993
LLM-full_metrics,80,0.02,dense,10,0.002408258033220638,0.019999999999999993
LLM-full_metrics,80,0.02,dense,11,0.0029905711172400424,0.019999999999999997
LLM-full_metrics,80,0.02,dense,12,0.0028036795111765363,0.020000000000000007
LLM-full_metrics,80,0.02,dense,13,0.0028912618629788724,0.02
LLM-full_metrics,80,0.02,dense,14,0.0033980714422209225,0.019999999999999993
LLM-full_metrics,80,0.02,dense,15,0.0030277824127035806,0.02
LLM-full_metrics,80,0.02,dense,16,0.002779777951669579,0.019999999999999976
LLM-full_metrics,80,0.02,dense,17,0.002538047307273564,0.020000000000000004
LLM-full_metrics,80,0.02,dense,18,0.0031900984897703048,0.02000000000000001
LLM-full_metrics,80,0.02,dense,19,0.00273193692284214,0.019999999999999997
LLM-full_metrics,80,0.02,dense,20,0.003603365900616886,0.019999999999999993
LLM-full_metrics,80,0.02,dense,21,0.0030886131760667077,0.019999999999999993
LLM-full_metrics,80,0.02,dense,22,0.0022331952686342293,0.02000000000000001
LLM-full_metrics,80,0.02,dense,23,0.0032934311970032426,0.019999999999999993
