condition,seed,program_id,generation_count
diagnostic_only,6,prog_k8_block_psd_asymmetric_hybrid_8cfa79f2bb5f,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_5b8be57b5a5c,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_97a0c5265ccd,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_9caade897487,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_b2603dba26d6,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_cb41687a5ce9,1
diagnostic_only,5,prog_k8_diagonal_asymmetric_hybrid_06564de98397,1
diagnostic_only,5,prog_k8_diagonal_asymmetric_hybrid_9c658213f1a7,1
diagnostic_only,6,prog_k6_block_psd_reflection_max_margin_b1841860feaf,1
diagnostic_only,6,prog_k6_diagonal_reflection_max_margin_4ebacdd30fbb,1
diagnostic_only,5,prog_k8_block_psd_reflection_hybrid_4cc741e1103a,1
diagnostic_only,9,prog_k6_block_psd_reflection_hybrid_6d9b7e5e6ef8,1
diagnostic_only,9,prog_k6_diagonal_reflection_hybrid_a02fa9911c39,1
diagnostic_only,9,prog_k8_block_psd_asymmetric_hybrid_7908ba370717,1
diagnostic_only,9,prog_k8_block_psd_reflection_hybrid_12e42c3f431f,1
diagnostic_only,9,prog_k8_block_psd_reflection_hybrid_85a1b13cdb8d,1
diagnostic_only,9,prog_k8_block_psd_reflection_hybrid_a40d5506fd08,1
diagnostic_only,9,prog_k8_block_psd_reflection_hybrid_f39492ee9754,1
diagnostic_only,9,prog_k8_diagonal_reflection_hybrid_1494d05defd0,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_9be4915b0145,1
diagnostic_only,9,prog_k8_diagonal_reflection_hybrid_dbb00a5816bb,1
diagnostic_only,9,prog_k8_diagonal_reflection_hybrid_e4474887f075,1
full_feedback,0,prog_k8_block_psd_asymmetric_hybrid_853a17e25dc1,1
full_feedback,0,prog_k8_block_psd_reflection_hybrid_3832e19b8385,1
full_feedback,0,prog_k8_block_psd_reflection_hybrid_7466262dbd5e,1
full_feedback,0,prog_k8_block_psd_reflection_hybrid_a9ecd93ed6c9,1
full_feedback,0,prog_k8_diagonal_asymmetric_hybrid_b61d3c8eaccb,1
full_feedback,1,prog_k6_block_psd_reflection_hybrid_50ef20779283,1
full_feedback,1,prog_k6_block_psd_reflection_hybrid_7a60cdcfb2cc,1
diagnostic_only,9,prog_k8_diagonal_reflection_hybrid_af8aefa31f31,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_c1e3c53220e9,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_d82570a66f1d,1
diagnostic_only,7,prog_k8_block_psd_reflection_hybrid_dec20182fddc,1
diagnostic_only,7,prog_k8_diagonal_asymmetric_hybrid_314ccc664bd6,1
diagnostic_only,7,prog_k8_diagonal_asymmetric_hybrid_588435b850a4,1
diagnostic_only,7,prog_k8_diagonal_asymmetric_hybrid_a99191eb1c61,1
diagnostic_only,8,prog_k6_block_psd_reflection_max_margin_bedcfb82f53a,1
diagnostic_only,8,prog_k8_block_psd_asymmetric_hybrid_e620d605dc1b,1
